Id,Name,Program,Breakfast,Lunch,Dinner,Snacks,Energy,Protein,Fatness,Carbohydrates,Calcium,Na,Potassium,Alcohol,Water,Category,Weight S,Img_file S,Img_width S,Img_height S,Weight M,Img_file M,Img_width M,Img_height M,Weight L,Img_file L,Img_width L,Img_height L,Weight XL,Img_file XL,Img_width XL,Img_height XL,Menu Image,,
24,Cornfleks,1,1,0,0,1,97.68,3.4,2.68,15.31,87.16,140.06,136.02,0,77.17,13,230.9,cereal_p_t,265,268,1,zzz_null_image,1,1,1,zzz_null_image,1,1,1,zzz_null_image,1,1,cereal_m_t,קורנפלקס,كورنفليكس
25,Mekushkeshet,1,1,0,1,0,246.03,12.89,20.98,0.79,54.4,282.86,137.36,0,64.34,14,43.4,im010_t,264,243,1,zzz_null_image,1,1,1,zzz_null_image,1,1,1,zzz_null_image,1,1,im010_t,ביצה מקושקשת,بيضه محروره
26,Fried Egg,1,1,0,1,0,246.03,12.89,20.98,0.79,54.4,282.86,137.36,0,64.34,14,45.5,im011_t,175,203,1,zzz_null_image,1,1,1,zzz_null_image,1,1,1,zzz_null_image,1,1,im011_t,ביצת עין,بيضة عين
27,Shakshuka,1,1,1,1,0,99.46,4.23,7,5.06,40.41,347.04,219.5,0,81.24,14,100,shakshuka_p_t,210,193,1,zzz_null_image,1,1,1,zzz_null_image,1,1,1,zzz_null_image,1,1,shakshuka_m_t,שקשוקה,شكشوكه
28,White Bread,1,1,1,1,1,240,8.6,1.2,49,13.73,5,170.36,0,37.9,15,29.8,bread_p_t,210,230,1,zzz_null_image,1,1,1,zzz_null_image,1,1,1,zzz_null_image,1,1,bread_p_t,לחן לבן,خبز ابيض
29,Pita,1,1,1,1,1,275.83,8.49,0.83,54.84,13.25,232.57,123.59,0,32.38,15,57.3,pitta_p_t,264,166,1,zzz_null_image,1,1,1,zzz_null_image,1,1,1,zzz_null_image,1,1,pitta_m_t,פיתה,رغيف خبز
30,Lahmania,1,1,1,1,1,154,9.6,0.31,28.2,20.05,390,165.32,0,57.99,15,103.7,lahmania_pm1_t,401,194,1,zzz_null_image,1,1,1,zzz_null_image,1,1,1,zzz_null_image,1,1,lahmania_pm1_t,לחמניה,دعبوبلحمنياه
31,Crackers,1,1,0,1,1,407,9.4,14.1,60,21.33,1086,207.5,0,4.2,15,8.5,kreker_p_t,172,173,1,zzz_null_image,1,1,1,zzz_null_image,1,1,1,zzz_null_image,1,1,kreker_m_t,קרקרים,بسكويت كراكر
32,Potato Burekas,1,1,1,1,1,309,4.5,19,30,14.7,390,181.07,0,43.91,16,250,burrekas_p_t,131,225,1,zzz_null_image,1,1,1,zzz_null_image,1,1,1,zzz_null_image,1,1,burrekas_p_t,בורקס תפוח אדמה,بوريكس بطاطا
33,French Fries,1,0,0,0,1,547,6.56,37.47,45.34,24,525,1642,0,2.28,16,18.9,frenchfries_p_t,146,184,1,zzz_null_image,1,1,1,zzz_null_image,1,1,1,zzz_null_image,1,1,frenchfries_m_t,צ'יפס מטוגן,بطاطا مقلية
34,Cashew Nuts,1,0,0,0,1,597,17.2,45.7,29.3,36.67,440,654.17,0,3.8,16,14.3,cashew_p_t,93,103,1,zzz_null_image,1,1,1,zzz_null_image,1,1,1,zzz_null_image,1,1,cashew_m_t,אגוזי קשיו,كاشيو
35,Jam,1,1,0,1,1,260,0.54,0.14,65.93,20,36,77,0,32.48,19,20.3,jam_p_t,109,100,1,zzz_null_image,1,1,1,zzz_null_image,1,1,1,zzz_null_image,1,1,jam_m2_t,ריבה,مربى
36,Honey,1,1,0,1,1,304,0.3,0,82.2,6,4,52,0,17.1,19,6.8,honey_p_t,78,81,1,zzz_null_image,1,1,1,zzz_null_image,1,1,1,zzz_null_image,1,1,honey_m1_t,דבש,عسل
37,Seeds,2,0,0,0,1,3.6,0.16,0.31,0.12,0.28,0.12,5.22,0,0.29,16,0.5,im018_t,42,49,0.9,im015_t,51,94,1.6,im020_t,127,50,-1,zzz_null_image,-1,-1,im018_t,זרעים,حبوب
38,Coffee,1,1,1,1,0,12.08,0.24,0.01,2.71,4.65,2.64,68.02,0,96.04,1,200,coffee_t,217,158,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,coffee_t,קפה,قهوة
39,Tea,1,1,1,1,1,1,0,0,0.3,0,3,37,0,99.7,1,200,tea_t,204,163,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,tea_t,תה,شاي
40,Bulgarit Cheese,1,1,0,1,0,121,15,5,4,500,600,52.77,0,75,3,43.7,bulgarit_p_t,142,151,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,bulgarit_m_t,גבינה בולגרית,جبنة بلغاريه
41,Cheeseeggplant,2,1,1,1,0,76.96,2.3,4.07,6.6,42,255.22,222.31,0,83.75,8,50.2,cheeseeggplant_p_t,221,203,86.9,cheeseeggplant_m_t,288,189,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,cheeseeggplant_m_t,חצילים בגבינה ,باذنجان بلجبن
42,Cheese,1,1,1,1,0,349,24,28,0.2,640.95,630,119.79,0,46.8,3,9.6,cheese_p_t,198,94,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,cheese_m_t,גבינה,جبنه
43,Chocolate Ice Cream,1,0,0,0,1,255,4.72,16.98,19.85,142,57,238,0,56.55,12,37.8,chocolateicecream_p_t,117,121,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,chocolateicecream_p_t,גלידת שוקולד,بوظة بطعم الشوكولاته
44,Knafe,1,1,0,1,1,221.88,5.1,4.4,41.22,36.62,128.54,94.12,0,47.49,12,96.5,knafe_p1_t,243,203,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,knafe_m_t,כנאפה,كنافة
45,Kuskus,1,0,1,1,0,184.64,5.44,3.88,29.55,8.7,201.09,75.79,0,58.46,8,327.2,kuskus_sauce_p1_t,354,330,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,kuskus_m1_t,קוסקוס,كسكس
46,Mango,1,1,1,1,1,65,0.51,0.27,15.2,10,2,156,0,81.71,6,250,mango_p1_t,191,161,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,mango_m,מנגו,مانغو
47,Apricot Jam,1,1,0,1,1,260,0.54,0.14,65.93,20,36,77,0,32.48,19,22.1,mishmeshjam_p_t,80,79,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,mishmeshjam_m_t,ריבת משמש,مربى المشمش
48,Nutella,1,1,0,1,1,585,1.2,38.1,56.7,96.14,8,362.3,0,0.3,19,17.4,nutella_p_t,76,69,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,nutella_m_t,ממרח נוטלה,نوتيلا
49,Olive,1,1,1,1,0,145,1.03,15.32,0.54,52,1556,42,0,75.28,7,20.5,olive_p_t,73,91,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,olive_m_t,זית,زيتون
50,Peanut Butter,1,1,0,1,1,588,25.09,50.39,13.56,43,459,649,0,1.81,19,26.8,peanutbutter_p_t,83,93,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,peanutbutter_m_t,חמאת בוטנים,زبدة الفول السوداني
51,Pecan,1,1,1,1,1,691,9.17,71.97,4.26,70,0,410,0,3.52,6,10.2,pecan_p2_t,97,104,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,pecan_m2_t,פקאן,جوز البقان
52,Perot Yaveshim,1,1,1,1,1,244,2.19,0.44,57.41,40,17,746,0,30.41,6,76.1,perotyavesh_p1_t,154,122,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,perotyavesh_m1_t,פירות יבשים,فاكهه مجففة
53,Petiber,1,1,0,0,1,439.6,7.7,13.4,72.22,42.55,266,98.96,0,5.16,15,7.7,petiber_p_t,130,98,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,petiber_m_t,פתי-בר,بسكوت بيتي بار
54,Pizuhim,1,0,0,0,0,386,24.4,31.18,9.94,31.07,13,582.31,0,32.14,16,11.2,pitzuhim_p2_t,141,134,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,pitzuhim_m1_t,פיצוחים,جوز
55,Potato,1,0,1,1,0,86,1.86,0.1,18.21,5,241,377,0,76.51,8,153.9,potato_pm_t,177,125,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,potato_pm_t,תפוח אדמה,بطاطا 
56,Ptitim,2,1,1,1,0,190.51,4.74,6.34,28.79,6.54,330.21,40.46,0,59.05,11,22.9,ptitim_p1_t,131,147,30,ptitim_p2_t,229,237,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,ptitim_m_t,פתיתים,
57,Roasted Almond,1,0,0,0,1,246,6.85,21.65,10.14,119.72,5,335.76,0,58.29,16,13.8,roastedalmond_p_t,100,109,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,roastedalmond_m1_t,שקדים קלויים,اللوز المحمص
58,Salad,1,1,1,1,0,47.12,0.79,3.56,2.94,15.19,215.4,184.37,0,90.72,7,45.8,salad_p_t,150,159,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,salad_m_t,סלט,سلطة
59,Salmon,1,0,1,1,0,233.54,25.37,14,0,42.39,296.51,496.37,0,59.63,10,106.7,salmon_p1_t,220,190,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,salmon_m1_t,סלמון,سمك السالمون
60,Smash Potato,1,0,1,1,0,120.03,1.63,4.51,17.06,10.08,385.03,309.61,0,74.11,8,68,smashpotato_p_t,146,141,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,smashpotato_m1_t,פירה תפוח אדמה,بطاطا مهروسه
61,Strawberry Ice Cream,1,0,0,1,1,249,3.5,16.2,22.29,117,61,157,0,57.2,12,42,strawberryicecream_p1_t,122,113,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,strawberryicecream_p1_t,גלידת תות,مثلجات التوت
62,Tamar,2,1,1,1,1,282,2.45,0.39,67.03,39,2,656,0,20.53,6,25.5,tamar_p1_t,146,97,71.6,tamar_m2_t,291,225,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,tamar_m2_t,תמר,تمر
63,Vanilla Ice Cream,1,0,0,1,1,249,3.5,16.2,22.29,117,61,157,0,57.2,12,39.19,vanillaicecream_p_t,124,123,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,vanillaicecream_p_t,גלידת וניל,بوظة بطعم الفانيل
64,Quark,1,1,0,1,0,79,9,3,4,100,450,98.74,0,83,3,250,creamcheese_m_t,220,221,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,creamcheese_m_t,,
