Id,Name,Program,Breakfast,Lunch,Dinner,Snacks,Energy,Protein,Fatness,Carbohydrates,Calcium,Na,Potassium,Alcohol,Water,Category,Weight S,Img_file S,Img_width S,Img_height S,Weight M,Img_file M,Img_width M,Img_height M,Weight L,Img_file L,Img_width L,Img_height L,Weight XL,Img_file XL,Img_width XL,Img_height XL,Menu Image,,
99,Adashim Soup,2,0,1,1,0,82.55,5.75,0.34,8.49,14.98,813.54,159,0,78.23,8,248,green_lentil_stew_large_t,227,229,142.5,green_lentil_stew_medium_t,206,206,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,green_lentil_stew_large_t,מרק עדשי,حساء عدس
100,Butter,1,1,1,1,1,742,0.5,82,0.3,45.47,10,45.47,0,16.2,0,9.8,butter_s,83,109,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,butter_s,חמאה,زبدة  
101,Coffee With Milk,1,1,0,1,1,31,1.7,1.66,2.32,60,21,97,0,93.64,1,249.5,coffee_with_milk,274,215,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,coffee_with_milk,קפה עם חלב,قهوة مع الحليب
102,Melted Cheese,1,1,1,1,1,282,13,25,1.2,275.17,1290,132.98,0,59.8,3,25.4,melted_cheese_s,79,93,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,melted_cheese_s,גבינה מותכת,جبن ذائب
103,Fruit Juice,1,1,1,1,1,49,0.5,0.1,11.5,8.67,8,109.42,0,86.9,2,293.2,fruit_juice,277,225,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,fruit_juice,מיץ פירות,
104,Waffle,1,1,1,1,1,509,5,23,70.5,18.43,61,60.42,0,0.5,12,16.1,waffle_s,215,86,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,waffle_s,וופל,
105,Vegetables Soup,1,1,1,1,1,26.84,0.77,0.21,4.68,12.39,651.47,142.7,0,92.24,12,284.6,vegetables_soup_m,341,339,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,vegetables_soup_m,מרק ירקות,حساء خضار
106,Stuffed Grape Leaves,1,1,1,1,1,101.59,2.06,3.03,15.3,16.47,216.71,173.15,0,76.95,8,72.6,stuffed_grape_leaves_s,171,142,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,stuffed_grape_leaves_s,עלי גפן ממולאים,دوالي ورق عنب محشي
107,Strawberry,1,1,0,0,1,32,0.67,0.3,5.68,16,1,153,0,90.95,6,79.9,strawberry_s,158,181,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,strawberry_s,תות,توت
108,Hard Boiled Egg,1,1,0,0,0,154,12.53,10.57,1.12,50,278,126,0,74.32,14,58.8,hard_boiled_egg_m,86,115,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,hard_boiled_egg_m,ביצה קשה,بيضة مسلوقة قاسية
109,Majadra,1,1,1,1,0,167.94,4.62,5.92,21.08,17.8,243.69,179.43,0,64.18,8,67.6,majadra_s,217,186,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,majadra_s,מג'דרה,مجدرة
110,Peach,1,1,1,1,1,33,0.53,0.07,8.42,5.76,0,182.32,0,89.49,6,89.6,peach_s,114,127,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,peach_s,אפרסק,خوخ
111,White Wine,1,0,0,1,1,84,0.07,0,2.72,8,5,99,10.4,86.58,18,178.4,white_wine_m,155,370,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,white_wine_m,יין לבן,نبيذ ابيض
112,Chocolate Cookie,1,1,1,1,1,503,5,27.5,58.9,66.39,330,204.98,0,4.6,12,38.4,chocolate_cookie_m,177,113,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,chocolate_cookie_m,עוגיית שוקולד,كعك الشوكولاته
113,Cucumber Slices,2,1,1,1,0,15,0.65,0.11,3.13,16,2,147,0,95.23,7,59.2,cucumber_slices_m,185,166,112.6,cucumber_xl,287,90,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,cucumber_slices_m,פרוסות מלפפון,شرائح من الخيار
114,Pickle,1,1,1,1,1,13,1,0.15,2,5.83,1166.67,125,0,94.65,7,13.7,pickle_s,137,128,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,pickle_s,מלפפון חמוץ,مخللات
115,Pizza,1,0,1,1,1,211.82,10.13,10.2,18.51,181.94,403.72,226.24,0,58.49,11,132.3,pizza_m,308,319,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,pizza_m,פיצה,بيضة
116,Water,1,1,1,1,1,0,0,0,0,2,3,0.18,0,99,2,200,water_t_450_google,100,168,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,water_menu_174_google,מים,ماء
117,Mustard,2,0,1,1,0,66,3.95,3.11,4.58,80,1120,151,0,81.645,5,6.8,mustard_s,56,62,10.7,mustard_m,77,73,15.5,mustard_xl,108,86,-1,zzz_null_image,-1,-1,mustard_menu,חרדל,خردل
118,Tabasco,2,0,1,1,0,12,1.29,0.76,0.2,12,633,128,0,95.17,5,0.9,tabasco_s,79,67,2.2,tabasco_m,88,69,4.5,tabasco_xl,112,96,-1,zzz_null_image,-1,-1,tabasco_menu,טבסקו,تباسكو
119,Bamba,2,0,0,0,1,435,3.7,10.6,78.9,44.685,193.31,113.778,0,1.3,12,1.5,bamba_s,93,79,2.3,bamba_m,94,95,3,bamba_l,98,123,-1,zzz_null_image,-1,-1,bamba_menu,במבה,بامبا
120,Bisley,2,0,0,0,1,492,10.3,22.5,62.075,11.868,700,83.516,0,2.019,12,2.8,bisley_s,74,56,4.1,bisley_m,89,87,5.7,bisley_l,75,104,-1,zzz_null_image,-1,-1,bisley_menu,ביסלי,بيسلي
121,Pepper,1,0,1,1,1,26,0.99,0.3,4.03,7,2,211,0,92.21,7,76.3,pepper_s,216,329,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,pepper_s,פילפל,فلفل
122,Soya Milk,1,1,0,1,1,43,3.3,1.9,2.8,120,50,141,0,90.98,2,200,milk_p_t,110,168,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,milk_soya_m,חלב סויה,
